# {"dataType":"PPG",
# "sensor":"MAX30102",
# "hardware":"LPC824_MAX30102",
# "firmware":"0.1",
# "sampling_rate":100,
# "subject":"JD",
# "timestamp":"2017-07-23T18:30",
# "sensorLocations":["left hand middle finter tip","left hand palm"] }
1500834490.315364 33292971 0 2544250 3105078 72 270
1500834490.320754 33298627 1 2253509 2544644 79 236
1500834490.322334 33300110 0 2544232 3105129 51 301
1500834490.329431 33307249 0 2544267 3105171 81 322
1500834490.330965 33308857 1 2253528 2544683 92 258
1500834490.336592 33314388 0 2544285 3105194 93 324
1500834490.340991 33319087 1 2253519 2544655 78 216
1500834490.343536 33321527 0 2544279 3105210 82 319
1500834490.350588 33328666 0 2544264 3105210 63 300
1500834490.351926 33329317 1 2253505 2544614 60 165
1500834490.357819 33335805 0 2544247 3105180 44 254
1500834490.361418 33339545 1 2253489 2544552 42 97
1500834490.364776 33342944 0 2544236 3105053 31 120
1500834490.371600 33349774 1 2253443 2544484 -3 28
1500834490.373191 33350083 0 2544185 3104945 -18 12
1500834490.379059 33357223 0 2544136 3104787 -62 -136
1500834490.381504 33360002 1 2253422 2544431 -22 -23
1500834490.386328 33364362 0 2544089 3104592 -102 -310
1500834490.391923 33370230 1 2253389 2544358 -51 -90
1500834490.393397 33371500 0 2544058 3104471 -124 -404
1500834490.400265 33378639 0 2543976 3104299 -193 -540
1500834490.402178 33380458 1 2253390 2544286 -46 -151
1500834490.407689 33385778 0 2543959 3104163 -196 -633
1500834490.412280 33390687 1 2253348 2544245 -82 -180
1500834490.414585 33392917 0 2543902 3104032 -237 -716
1500834490.421883 33400056 0 2543874 3103937 -248 -760
1500834490.423208 33400917 1 2253329 2544180 -94 -229
1500834490.428844 33407195 0 2543835 3103824 -269 -818
1500834490.432791 33411147 1 2253303 2544110 -112 -280
1500834490.436286 33414334 0 2543798 3103705 -286 -878
1500834490.442904 33421377 1 2253281 2544052 -125 -316
1500834490.444414 33421474 0 2543762 3103667 -301 -858
1500834490.450242 33428613 0 2543776 3103611 -269 -856
1500834490.453198 33431608 1 2253262 2543945 -135 -396
1500834490.457652 33435753 0 2543751 3103513 -275 -894
1500834490.463337 33441837 1 2253210 2543874 -175 -437
1500834490.464790 33442892 0 2543730 3103479 -277 -870
1500834490.471652 33450032 0 2543713 3103428 -275 -863
1500834490.473561 33452068 1 2253163 2543816 -208 -464
1500834490.478683 33457172 0 2543730 3103397 -241 -838
1500834490.483793 33462298 1 2253181 2543751 -178 -495
1500834490.485733 33464311 0 2543681 3103393 -271 -789
1500834490.493238 33471451 0 2543693 3103395 -242 -737
1500834490.494537 33472529 1 2253166 2543718 -180 -495
1500834490.500142 33478591 0 2543707 3103406 -213 -680
1500834490.504390 33482759 1 2253159 2543703 -175 -478
1500834490.507383 33485731 0 2543713 3103401 -194 -642
1500834490.514610 33492871 0 2543710 3103466 -184 -540
1500834490.515897 33492989 1 2253176 2543704 -148 -447
1500834490.521599 33500010 0 2543715 3103495 -167 -479
1500834490.524667 33503218 1 2253156 2543689 -157 -433
1500834490.528667 33507150 0 2543783 3103505 -92 -439
1500834490.534887 33513447 1 2253149 2543662 -153 -431
1500834490.536503 33514289 0 2543722 3103537 -143 -381
1500834490.542902 33521428 0 2543743 3103566 -114 -330
1500834490.545167 33523675 1 2253164 2543666 -129 -400
1500834490.549970 33528566 0 2543779 3103580 -73 -296
1500834490.555125 33533904 1 2253187 2543682 -99 -360
1500834490.556995 33535706 0 2543738 3103596 -106 -262
1500834490.564136 33542845 0 2543746 3103618 -91 -225
1500834490.565598 33544133 1 2253175 2543678 -104 -341
1500834490.571268 33549985 0 2543778 3103616 -55 -212
1500834490.575682 33554362 1 2253159 2543657 -112 -339
1500834490.578413 33557125 0 2543765 3103601 -63 -212
1500834490.585527 33564264 0 2543768 3103640 -56 -162
1500834490.586920 33564593 1 2253157 2543615 -106 -357
1500834490.592632 33571403 0 2543764 3103658 -56 -135
1500834490.596054 33574822 1 2253156 2543625 -100 -325
1500834490.599836 33578543 0 2543801 3103676 -17 -109
1500834490.606405 33585052 1 2253148 2543619 -101 -310
1500834490.607782 33585683 0 2543766 3103708 -48 -72
1500834490.614071 33592823 0 2543775 3103745 -36 -32
1500834490.616660 33595281 1 2253151 2543632 -91 -278
1500834490.621096 33599963 0 2543825 3103764 14 -12
1500834490.626652 33605511 1 2253154 2543634 -82 -258
1500834490.628271 33607102 0 2543814 3103824 3 45
1500834490.635419 33614242 0 2543816 3103860 5 76
1500834490.636785 33615741 1 2253175 2543634 -57 -241
1500834490.642465 33621381 0 2543837 3103889 25 99
1500834490.647046 33625970 1 2253173 2543656 -55 -205
1500834490.649544 33628520 0 2543845 3103892 31 96
1500834490.656791 33635659 0 2543841 3103903 26 101
1500834490.658039 33636198 1 2253174 2543640 -50 -207
1500834490.663759 33642798 0 2543838 3103898 22 90
1500834490.667388 33646428 1 2253176 2543650 -45 -184
1500834490.671100 33649937 0 2543845 3103896 28 83
1500834490.677635 33656658 1 2253176 2543682 -42 -142
1500834490.679290 33657076 0 2543815 3103878 -1 61
1500834490.685270 33664216 0 2543802 3103846 -13 28
1500834490.687873 33666887 1 2253185 2543666 -30 -148
1500834490.692276 33671355 0 2543813 3103823 -1 5
1500834490.698011 33677116 1 2253202 2543705 -12 -102
1500834490.699306 33678495 0 2543814 3103867 0 46
1500834490.706531 33685634 0 2543811 3103899 -2 74
1500834490.708180 33687344 1 2253199 2543719 -14 -82
1500834490.713532 33692773 0 2543853 3103921 38 90
